id,asset_key,character,line,context,emotion,max_duration_s,variants
bark.wadding,line.ff07c226,Sister Ilse,"Scraps of wadding went in with the shot — pull those out too, or it’ll fester.",bark (surgery/entities.ts),neutral,4.3,1
bark.wadding,line.691047a8,Sister Ilse,Shot drives wadding in after it. Search with the lens before we close.,bark (surgery/entities.ts),neutral,3.9,1
bark.eschar-fester,line.400ff6d6,Sister Ilse,It’s festering — the salve sealed the eschar in. Clean that rot.,bark (surgery/entities.ts),neutral,3.5,1
bark.hex-tell,line.12265dc3,Sister Ilse,Green flicker — it’s rekindling! Brand out the ember!,bark (surgery/entities.ts),urgent,2.9,3
bark.burn-salve,line.b6fde798,Sister Ilse,The dead flesh is off. Now salve the raw burn.,bark (surgery/entities.ts),neutral,2.5,1
bark.burn-core,line.1acd06b1,Sister Ilse,"The dead core’s out. Pluck the rest of the eschar, then salve.",bark (surgery/entities.ts),neutral,3.4,1
bark.burn-char,line.72f0d4e5,Sister Ilse,That centre is dead flesh — cut the char out with the lancet first!,bark (surgery/entities.ts),urgent,3.7,1
bark.acid-first,line.3629403e,Sister Ilse,The acid’s still live! Draw it off with the leech-pipe before you salve.,bark (surgery/entities.ts),urgent,4.0,1
bark.burn-eschar,line.74897ecd,Sister Ilse,Pluck away the charred eschar with the tongs first!,bark (surgery/entities.ts),urgent,2.8,1
bark.hex-ember,line.f7c5c80e,Sister Ilse,Its ember still glows — brand it out or the hexfire will rekindle!,bark (surgery/entities.ts),urgent,3.6,3
bark.bubo-cut,line.45392ca1,Sister Ilse,Draw a short cut across the crown — a prick won’t open it.,bark (surgery/entities.ts),neutral,3.2,1
bark.bubo-overcut,line.749cba86,Sister Ilse,Too long a cut — it’s spilling everywhere. Short and across the crown!,bark (surgery/entities.ts),urgent,3.9,1
bark.pus,line.2eb24033,Sister Ilse,Draw off the pus before you salve it.,bark (surgery/entities.ts),neutral,2.4,1
bark.venom-mote,line.6f21b4c0,Sister Ilse,"The venom’s running for his heart along the vein — sear or draw off the drops, or tie the vein!",bark (surgery/entities.ts),urgent,5.2,1
bark.grub-burrow,line.082fdfc4,Sister Ilse,One’s burrowed in! Find it with the lens.,bark (surgery/entities.ts),urgent,2.4,1
bark.grub-split,line.23c921a1,Sister Ilse,Don’t let go half-way — hold the brand until it stops moving!,bark (surgery/entities.ts),urgent,3.4,3
bark.sigil-regress,line.7da05791,Sister Ilse,Don’t stop half-way — the curse heals what you leave!,bark (surgery/entities.ts),urgent,2.9,1
bark.a5cf2fb6,line.a5cf2fb6,Sister Ilse,sigil-order,bark (surgery/entities.ts),neutral,2.4,1
bark.b6fb00a0,line.b6fb00a0,Sister Ilse,"The choir is silenced — its heart is bare! Brand it, now!",bark (surgery/lauds.ts),urgent,3.1,3
bark.cb4fc011,line.cb4fc011,Sister Ilse,It’s calling its Voices back!,bark (surgery/lauds.ts),urgent,2.4,1
bark.lauds-response,line.7080f278,Sister Ilse,"It heals from the other body! Strike one, then the other — quickly!",bark (surgery/lauds.ts),urgent,3.7,1
bark.lauds-hymn,line.9e447097,Sister Ilse,It’s singing — every verse tears him open! Stitch the cuts as they come!,bark (surgery/lauds.ts),urgent,4.0,1
bark.lauds-flare,line.dc11a2f2,Sister Ilse,The dawn — I can’t see a thing through the Lens! Wait for the glare to pass!,bark (surgery/lauds.ts),urgent,4.2,1
bark.lauds-under,line.926ed241,Sister Ilse,It’s gone under the skin! The Scrying Lens — hunt its ripples!,bark (surgery/lauds.ts),urgent,3.4,1
bark.lauds-surface,line.f8471ff7,Sister Ilse,There! It’s surfacing — brand it before it dives!,bark (surgery/lauds.ts),urgent,2.7,3
bark.lauds-shielded,line.6c32c902,Sister Ilse,The Voices shield it. Silence them first — trace each one’s sigil with the brand.,bark (surgery/lauds.ts),neutral,4.5,3
bark.308b8754,line.308b8754,Sister Ilse,"It has split in two — and the halves sing to each other! Strike one, then the other, before it answers!",bark (surgery/lauds.ts),urgent,5.7,1
bark.74907c5b,line.74907c5b,Sister Ilse,Dawn is breaking — and it has dived! Find it with the Lens between the flares!,bark (surgery/lauds.ts),urgent,4.3,1
bark.1307de3f,line.1307de3f,Sister Ilse,"It shattered — hexstone, everywhere! Get every shard out before it spoils him!",bark (surgery/lauds.ts),urgent,4.3,1
bark.a82c25de,line.a82c25de,Sister Ilse,The thread has rewoven — they’re linked again!,bark (surgery/lauds.ts),urgent,2.5,1
bark.lauds-dim,line.efec9f90,Sister Ilse,"The thread between them dims — cut across it with the lancet, now!",bark (surgery/lauds.ts),urgent,3.6,1
bark.lauds-bright,line.c5e752a9,Sister Ilse,Not while it blazes — wait for the thread to dim.,bark (surgery/lauds.ts),neutral,2.7,1
bark.9a4c3f3f,line.9a4c3f3f,Sister Ilse,Severed! Strike freely while they’re apart!,bark (surgery/lauds.ts),urgent,2.4,1
bark.lauds-voice-trace,line.94b796a6,Sister Ilse,"Holding it there won’t quiet it — trace the Voice’s sigil with the brand, line by line.",bark (surgery/lauds.ts),neutral,4.8,3
bark.f799ed8c,line.f799ed8c,Sister Ilse,That sac is swelling… it’s about to hatch!,bark (surgery/lauds.ts),urgent,2.4,1
bark.eggsac-lanced,line.691f9d07,Sister Ilse,Spiderlings! Brand them before they scatter!,bark (surgery/lauds.ts),urgent,2.4,3
bark.malison-open,line.a4522c4b,Sister Ilse,"Its shroud has parted — sear it with the brand, now!",bark (surgery/malison.ts),urgent,2.9,3
bark.malison-rend,line.d998a08e,Sister Ilse,It’s tearing the flesh as it moves! Stitch those wounds!,bark (surgery/malison.ts),urgent,3.1,1
bark.matins-shards,line.6ac1a9da,Sister Ilse,It’s shedding shards — they’re crawling for the wounds! Tongs — cast them out!,bark (surgery/malison.ts),urgent,4.3,1
bark.matins-gaze,line.a853c273,Sister Ilse,The eye has fixed on your hand — move off its line!,bark (surgery/malison.ts),urgent,2.8,1
bark.matins-offbeat,line.05c61dd9,Sister Ilse,"Only on the third beat, Doctor — when the eye is wide!",bark (surgery/malison.ts),urgent,3.0,1
bark.456f0763,line.456f0763,Sister Ilse,Wait for it to open.,bark (surgery/malison.ts),neutral,2.4,1
bark.e7adfaa3,line.e7adfaa3,Sister Ilse,It’s quickening! Doctor — the Litany. Draw the star with the right hand and still the hour.,bark (surgery/malison.ts),urgent,5.0,1
bark.93051efa,line.93051efa,Sister Ilse,"The shroud has burned away — an eye! Brand it on the third beat, and only then!",bark (surgery/malison.ts),urgent,4.3,3
bark.830c5e94,line.830c5e94,Sister Ilse,It’s splitting apart! Seize every shard with the tongs and cast it out — before they rejoin!,bark (surgery/malison.ts),urgent,5.1,1
bark.Steady-hands-,line.c3ac6729,Sister Ilse,praise,bark (surgery/operation.ts),neutral,2.4,1
bark.Now-Doctor-the-Litany-Draw-the-five-pointed-star-with-the-right-hand-,line.84e3a65f,Sister Ilse,instruction,bark (surgery/operation.ts),neutral,2.4,1
bark.overheat,line.410eb989,Sister Ilse,The brand’s overheated. Give it a moment between searings.,bark (surgery/operation.ts),neutral,3.2,3
bark.brand-flesh,line.82dbfa51,Sister Ilse,Careful! The brand is searing healthy flesh!,bark (surgery/operation.ts),urgent,2.4,3
bark.reopened,line.23b93411,Sister Ilse,You’ve cut through your own stitches! Close it again.,bark (surgery/operation.ts),urgent,2.9,1
bark.inject-wound,line.6d46fd3c,Sister Ilse,"Not into the wound, Doctor — clean flesh, away from the cuts.",bark (surgery/operation.ts),neutral,3.4,1
bark.inject-waste,line.4d0df626,Sister Ilse,"He didn’t need that, Doctor. Save the tincture.",bark (surgery/operation.ts),neutral,2.6,1
bark.overdose,line.17ec1f41,Sister Ilse,Too much tincture — your hands are shaking!,bark (surgery/operation.ts),urgent,2.4,1
bark.Vitals-are-failing-Use-the-tincture-Doctor-,line.219901ae,Sister Ilse,danger,bark (surgery/operation.ts),neutral,2.4,1
bark.3c579abf,line.3c579abf,Sister Ilse,Everything’s clear. Close the incision with the thread.,bark (surgery/operation.ts),neutral,3.0,1
bark.7d19b7e0,line.7d19b7e0,Sister Ilse,The operation is complete.,bark (surgery/operation.ts),neutral,2.4,1
bark.salve-dry,line.845c9dfb,Sister Ilse,The salve pot’s empty — give it a moment to refill.,bark (surgery/operation.ts),neutral,2.8,1
bark.347dc00d,line.347dc00d,Sister Ilse,"Instruments ready, Doctor.",bark (scenes/operation.ts),neutral,2.4,1
bark.bb77b3b3,line.bb77b3b3,Sister Ilse,The case notes changed — starting again.,bark (scenes/operation.ts),neutral,2.4,1
