id,bus,loop,variations,voice_limit,priority,caption,ducks,gameplay,triggered_in,status
sfx.hour.vespers.telegraph,world,,4,1,92,[The Malison of Vespers: it gathers itself — a blow is coming],,yes,audio/sfx-later.ts (template),synthesised
sfx.hour.vespers.attack,world,,4,1,88,[The Malison of Vespers: it strikes],boss,,audio/sfx-later.ts (template),synthesised
sfx.hour.vespers.hit,world,,4,1,75,[The Malison of Vespers: it shrieks],,,audio/sfx-later.ts (template),synthesised
sfx.hour.vespers.phase,world,,4,1,90,[The Malison of Vespers: it changes],boss,yes,audio/sfx-later.ts (template),synthesised
sfx.hour.vespers.summon,world,,4,1,85,[The Malison of Vespers: it sheds its brood],,yes,audio/sfx-later.ts (template),synthesised
sfx.hour.vespers.shield,world,,4,1,85,[The Malison of Vespers: a ward rises],,yes,audio/sfx-later.ts (template),synthesised
sfx.hour.vespers.shieldBreak,world,,4,1,85,[The Malison of Vespers: the ward shatters],,,audio/sfx-later.ts (template),synthesised
sfx.hour.vespers.submerge,world,,4,1,85,[The Malison of Vespers: it sinks beneath the skin],,yes,audio/sfx-later.ts (template),synthesised
sfx.hour.vespers.weaken,world,,4,1,80,[The Malison of Vespers: it weakens],,,audio/sfx-later.ts (template),synthesised
sfx.hour.vespers.death,world,,4,1,95,[The Malison of Vespers: it is unmade],boss,,audio/sfx-later.ts (template),synthesised
loop.hour.vespers,world,yes,,8,70,,,,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.intro,world,,4,1,95,[The Malison of Compline: a choir swells as it wakes],,,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.telegraph,world,,4,1,92,[The Malison of Compline: it gathers itself — a blow is coming],,yes,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.attack,world,,4,1,88,[The Malison of Compline: it strikes],boss,,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.hit,world,,4,1,75,[The Malison of Compline: it shrieks],,,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.phase,world,,4,1,90,[The Malison of Compline: it changes],boss,yes,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.summon,world,,4,1,85,[The Malison of Compline: it sheds its brood],,yes,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.shield,world,,4,1,85,[The Malison of Compline: a ward rises],,yes,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.shieldBreak,world,,4,1,85,[The Malison of Compline: the ward shatters],,,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.submerge,world,,4,1,85,[The Malison of Compline: it sinks beneath the skin],,yes,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.weaken,world,,4,1,80,[The Malison of Compline: it weakens],,,audio/sfx-later.ts (template),synthesised
sfx.hour.compline.death,world,,4,1,95,[The Malison of Compline: it is unmade],boss,,audio/sfx-later.ts (template),synthesised
loop.hour.compline,world,yes,,8,70,,,,audio/sfx-later.ts (template),synthesised
